reference_transcriptions,generated_transcriptions
select meat, Select me.
an aphasia, out there.
what what they meant by selectq i couldn't figure it out," a select meant, what they meant by select, I couldn't figure it out."
i just could not, could not.
there was no way, There is no way.
i'm extraordinary troubled really troubled by that," and extraordinarily troubled, really troubled by it."
and so so finally i called a coworker and said," And so finally, I called a co-worker and she"
what what what does this mean to me when they say selectq, What does this mean when they say select?
and it described the tapping the cursor and moving the cursor along holding the cursor down and highlighting an area, and to describe the head tapping the cursor and moving the cursor along holding the cursor down and highlighting an area.
that's what they meant by selectq, That's what they meant by select.
well hell that was never described in the manual at all," Well, hell, that was never described in the manual at all."
and that threw me for a loop for several days, And that really threw me for a loop for several minutes.
and so i became became very questioning as to whether whether i would could go back to work or even function at work, And so they came very questioning as to whether I could go back to work and even function at work.
and and so so finally the the like i say the the temp from the coworker," And so finally, like I said, a tip from the co-worker."
oh okay, Okay
the most most basic of terms which the the dos manual," basic of terms, which the DOS manual"
no no this is dos not microsoft," I know there's Docs, not Microsoft."
this is before microsoft existed, as before Microsoft existed.
this dos manual it did not comprehend that somebody would would have the the gall enough the temerity enough to question the meaning of selectq," as Dawes manual, it did not comprehend that somebody would have the gall enough, a temerity enough to question them, question the meaning of select."
but they did not, They did not.
dos manual did not describe that anywhere, Dosh Maynard did not describe it anywhere.
and so i went back to work and struggling with the aphasia and short term memory issues and the like and trying to to to function," And so, I went back to work and struggling with the aphasia and short-term memory issues in the lack and trying to function."
and and finally my my after a couple years company brought out their what they call their franklin planner and and said said," And finally, after a couple of years, the company brought out what they call the Franklin DePlanner and said,"
you take the franklin planner and and write stuff down, He might have to take the Frankel planter and write stuff down.
and so wow that was a godsend," And so, wow, that was a godsend."
i mean just being able to to write write things down," I mean, just being able to write the right thing down."
so i i carry a small," I was like, I carry a small."
don't have with me right now, have with me right now.
but i carry a small notecard notebook wherever i go yet today," till I carry a small note card, note book wherever I go, yet today."
because that writing when when when my my boss figured told me how to write stuff done with a franklin planner," Because that was, I was writing when I figured out when my boss told me how to write stuff down with a Franklin planner."
holy mackerel that that was a new lease on life if you will," Holy mackerel, that was a new lease on life, if you will."
that that in particular, that in particular.
and and also i ended up as a camera manager for the company in the defense products meeting all kinds of people at at at shows shows at conferences that kind of stuff, and also I ended up as a later as a account manager for the company and defense products meeting all kinds of people that shows shows conferences that kind of stuff.
i developed tricks where i when i meet somebody new i will always say their name over and over and over again silently to myself," I developed a trick where when I meet somebody new, I will always say their name over and over and over again, silently to myself."
use their name in any kind of verbal verbal conversation with them, use their name in any kind of verbal conversation with them.
use their name every time first or last name or or both, Use your name every time first or last name or both.
and and then after the conversation write their name down," and then after the conversation, write their name down."
and and and that's that's a viable trick that i still use today, And that has been a viable trick that I still use today.
for example in our neighborhood met a, example I've met a map in our neighborhood met a
i'm at home now, I'm at home now.
not down the farm, knock down the farm.
but met a fellow in the neighborhood out for a walk of several days ago and moved to the neighborhood from sometime back, met a fellow in the neighborhood out for a walk several days ago and moved to the neighborhood some time back.
and i got his name, I got his name.
and so then said his name over and over again and the like and told my wife about it and then then wrote it down, and tell it and shed his name over and over again and the like and told my wife about it and then wrote it down.
and this morning i saw him out for a walk and and couldn't recall his name at first but then then thought for awhile," And this morning I saw him out for a walk and could recall his name at first, but then I thought for a while,"
and then finally the name came to, and finally the name came to it.
so but but the the discipline on on recalling names has been quite an invaluable tool and helped helped me return to functionality, But the discipline on recalling names has been quite an invaluable tool and helped me return to functionality.
yes yes, Yes.
the i think i mentioned to you last week, I think I mentioned to you last week.
possibly i didn't, may make a positive impact.
but i'd spent some time at the rehab hospital of indiana as a volunteer zero zero, time I spent time as a rehab officer of Indiana as a volunteer 04-07.
and because i i started zero was twenty years after the eighty four injury," And because I started 04 which is 20 years after the 84, 84 injury."
and it became rather troubling to me because having they just didn't do therapy for the brain injured in those years," And it became rather troubling to me because having, they just didn't do therapy for the brain injury in those years."
so there was no therapy, So there is no therapy.
you're able to survive, just are able to survive.
the thing you're able to just could just check for hospital and go home, is to be able to get this job done.
and because they just did not do therapy in those years," And as I just did not do therapy in those years,"
and and over the course the next twenty years wife and i found out about from people that had had therapy brain injuries later that the divorce rate amongst the brain injured approaches ninety percent," And over the course of the next 20 years, my wife and I found out about from people that had at therapy brain injuries later that the divorce rate amongst the brain injured approaches 90%."
and the suicide rate amongst the brain injured is four to five times the national average, and the suicide rate of place to brain injury is four to five times the national average.
that's what they're telling people even fifteen years ago, as well as they're telling people even 15 years ago.
and so i wanted to share that with with the patients at rhi to just to to give them hope that that recovery is is possible, And so I wanted to share that with patients at RHI just to give them hope that recovery is possible.
but it is takes a long time, It just takes a long time.
and in zero i started there at rhi i heard neurosurgeons telling patients and their families," And in L4 when I started there at RHI, it was, I heard neurosurgeons telling patients and their families"
yup a year to year and a half recovery," a year, a year in Africa."
year to year and a half recovery, year to year in Africa.
year to year and a half recovery, year to year and every coverage.
hey you don't stop recovering," Hey, you don't stop recovering."
the rate may be asymptotic if you will and slow down pretty rapidly after a a year to year and a half," the rate may be asymptotic, if you will, and slow down pretty radically after a year to year and a half."
but you never never stop recovering," you never, never stop recovering."
in the eighty eighty four incident i had a a dead spot with no feeling above the left hip, I had a in the 84 incident I had a dead spot with no feeling above the left hip
and it was just something that i accepted, and they're just something that I accepted.
and i could function without it, and there was like a folkship at it.
no no big deal, You know no big deal.
but to stick a pin there and i don't wouldn't couldn't wouldn't feel it," to take a pin there, and I wouldn't feel."
no no big deal," No, no big deal."
and then it was probably five years ago or twenty twenty five," And then it was probably, I believe, five years ago, or maybe 20, 20 years ago."
i think it was yeah, Thank you.
i think it was zero, I think it was O9.
twenty five years after the eighty four incident i was in the bedroom putting my sock socks one morning," 25 years after the 84 incident, I was in the bedroom, put in my socks one morning."
and i had feeling in the spot that had no feeling for twenty five years, and I had feeling in the spot that had no feeling for 25 years.
so what i'm telling you actually is that the recovery may slow down like i say and mathematically described asymptotic but but still slow down significantly," So what I'm telling you actually is that the recovery may slow down, like I say, and mathematically described as ontotic, but that still slowed down significantly."
but but still you never stop recovering, that still you never stop recovering.
you just don't stop recovering, you did too much top recovery.
i've i'm done preaching," Yeah, I'm done preaching."
yes it's not not rocket science," Yes, yeah. It's not rocket science."
it it time time is your best ally in in those kind of cases," Time is the best, you're an ally in those kinds of cases."
because you you the feeling that you don't have it it lessen in importance," because the feeling that you don't have, it will lessen in importance."
and and you'll notice one day it'll it'll," and you'll notice one day, you'll notice one day,"
oh oh crap i i i have feeling there that i didn't have before," Oh crap, I have feeling there I didn't have before."
it actually it will happen, It actually will happen.
you will experience it, you will experience it.
actually actually no," Um, I actually didn't know."
i mean i was used to feel like a little pinprick every once in awhile," I was used to a little, I feel like a little pinprick every once in a while."
but but i i don't know if i got used to it or or ignored it or or what, I don't know if I got used to it or ignored it or what.
but but like i say twenty five years later i just put on my socks one morning," But like I said, 25 years later, just put on the socks one morning."
hey wait a minute," Hey, wait a minute."
i've got feeling there, Got feeling there
and had had had none before, and had none before.
i i don't know when it happened, Do you want to end happen?
have have no idea, I have no idea.
they will," They will, it will, they will."
the nerves will work again, that would urge well working.
they they will actually, they will actually.
they will, They will.
when i first first time i met my wife," Uh, when I, when I, when I, I first, first time I met my wife."
when i she and i first met went we high school graduates, when she and I first met. We're high school graduates.
we went to different high schools together, So we're in a different high school together.
her in washington indiana," heard from but near Washington, Indiana, and Washington, Indiana."
and myself from plainfield, myself from a plane field.
and it was before classes started at purdue, And it was before classes started at Purdue.
august of nineteen seventy two, August of 1972.
it was her first day on campus, It was her first day on campus.
my first day on campus, My first day on campus.
there was to be a a dance at the the dorm i was staying at this this this one night at our, There was to be a dance at the door of my staying at this one night at our
again again each is our first first day on campus," again, each is our first day on campus."
and and and and so i was a little bit early, And so I was a little bit early with the
which i i will arrive but place a little bit early given given control of of of of a situation, which I will arrive at a place a little bit early given a given control of the situation.
and so i ended up being just a little bit early for the dance there, And so I ended up being just a little bit early for the dance there.
and and my wife and and her her her wingman her, and my wife and her wingman.
guy girl girls girls go with with body guards, You girls go with body care.
i think it's a, Thanks for watching.
her and her wife and her and saying you know wingman showed up there at at this this," Her and her wife and her and her shade and a wingman showed up there at this,"
and and firstnames's wife has never met a stranger, And Sandy's wife has never met a stranger.
the she's the a a true extrovert, She is a true extrovert.
matter of fact if you look up in webster extrovert and it said, Thank you. Look up and Webster extrovert and say
so so she and a girlfriend that her her her wingman well walked up to me and said," But anyway, so she and a girlfriend, her wingman, walked up to me and said,"
oh hey is the the dance here, He is the dance hero.
and and wellco i answered," And well, I answered that."
well it's supposta be, close to me.
that's why i'm here, That's why I'm here.
and and then we i hung around, And I just hung around a little bit.
i i i hung around her that that that that dance, I read her that dance.
and that's where we started dating, And that's where we started dating.
and and we we dated probably three years or so, and my data probably three years or so.
dated around about three years or so, or have about three years or so.
and after about four years i figured out that wellco maybe something's going on here," And after about four years, I figured out that, well, maybe something's going on here."
and i oughta get more serious about this, and ought to get more serious about this.
so it was just like i i accused her of of picking me up at a school dance," So it was just, I accuse her of backing me up at a school dance."
that's where where we first met is she picked me up at a dance, That's where we're at first matter. She picked me up by the day.
a young boy it's look like a a grade schooler's had a soccer ball," a young boy, I think a grade schooler has a soccer ball."
is kicking it, I'll just take a minute.
and he he it ends up going through a house window," Okay, hands up going through a house window."
a gentleman on a couch there in the window sitting right by where the soccer ball comes through and knocks a lamp down and surprises him," a gentleman on a couch here in the window, say right by where the soccer ball comes through and knocks a lamp down and surprises him."
and then he he he gets the ball stands by the broken window trying to find out just what went on," And then he gets the balls, stands by the Berkley winner trying to find out just what went on."
in the beginning this this mother it appears is had an umbrella and wanted to give it to her son before he goes off to school or go to somewhere," And in the beginning, this mother, it appears, has had an umbrella and wanted to give it to her son before it goes off to school or goes somewhere."
and he he says, and easy shabby.
he says no and says, He says no and just...
no no mom i don't need that," No, no, mom, I need that."
and then then leaves, and then then leaves.
and then in the middle it starts raining on him," and then in the middle, he started raining on him."
and then rains heavier on him, and then range heavier on image.
and then he goes back home just soaked to the bone as with mother kind of frowning at that," And then he goes back home just soaked with a bone, as if with mother frowning at him."
and then the end of the story was he learned his lesson and has the umbrella with him is walking in the rain," And then the last, the end of the story was he learned his lesson and as the umbrella with him is walking in the rain."
the way this started was that the it looks like that there's a a a tree with a dog at the base of the tree a a a male at the first tree limb," The way this started was that it looks like there's a tree with a dog at the base of the tree, a male anniversary limb."
a dog is barking at this guy, The dog is barking at this guy.
and on a tree limb there's a cat with a girl down and a tricycle down below this cat," And on the tree limb, there's a cat with a girl, and a tricycle down below this cat."
and it would appear that a cat climbed up the tree, And it would appear that a cat climbed up the tree
the a little girl's cat climbed up the tree and got stuck up there, The little girls cat climbed up the tree and got stuck up there.
they they they a man was either being chased up the tree by the dog or or climbed up the tree to help get the little girl's cat," A male, a man was either being chased up the tree by the door or climbed the tree to help the little girls cat."
there's also a a firetruck and a fire engine, There's also a fire truck and a fire engine.
but a pair of firemen carrying a ladder, the fireman carrying the ladder.
and it looks like the the the ladder is being used by the firemen to rescue either the the man or the cat or both, and looks like the ladder is being used by the firemen to rescue either the man or the cat or both.
and a songbird is over on a a a remote tree limb just singing away just observing the whole story," And a songbird is over on a remote tree limb, singing away, just observing the whole story."
okay done, Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you.
cinderella was a a daughter a subject of a kingdom whose, Cinderella was a daughter of a subject of a kingdom who's
she her mother passed away," She, her mother had passed away."
and her father remarried, and our father remarried.
and the stepmother had two two daughters who were were mean mean daughters," And the stepmother had two daughters, or mean daughters."
and after they were married the father and and stepmother married the stepmother put cinderella to work around the house where the stepdaughters were did did did did basically nothing," And as they, after they were married, the father and stepmother married a stepmother put Cinderella to work around the place where, around the house where stepdaughters were, it did basically nothing."
and so so cinderella spent her time working cleaning polishing that kind of stuff around the house," And so Cinderella spent her time working, cleaning, polishing, that kind of stuff around the house."
and and in the kingdom there was a a prince who was not married," And in the kingdom, there was a prince who was not married."
an advisor to the king suggested a a a ball be held you know with the the express expect express purpose of introducing the his his son to the eligible young ladies in the kingdom," An advisor to the king suggested a ball be held, the express purpose of introducing the"
so the word was put out about the ball coming up, So the word was put out about the ball coming up.
cinderella was real happy about the ball coming coming up as were the the stepsisters, Cinderella was really happy about the ball coming up as were the step-sisters.
and so the the the the birds mice made a a beautiful dress for cinderella for the ball," And so the farm animals, I mean, birds, mice made a beautiful dress for Cinderella or the ball."
and and then at the last minute the stepmother told cinderella she was not going to the ball," And then at the last minute, the stepmother told Cinderella she was not going to the ball."
and and then also the the the stepdaughters were were really really really mean to her, and the and also the stepdaughters were really really really mean to her.
and so so the stepdaughters went to the ball," And so, so the step doors went to the ball."
and but in the meantime while before the ball a cinderella's fairy godmother showed up and and said that well," And but in the meantime, while before the ball, right at the, before the ball, a Cinderella's fairy godmother showed up and said that, well,"
and so it it made for her a just a a lovely gown, And so it made for her just a lovely gown.
and they then turned a a pumpkin into a coach pulled by by by mice i believe that ended up were turned into horses," and they turned a pumpkin into a coach pulled by mice, I believe, that were turning into horses."
and so she ended up going to the ball, And so she ended up going to the ball.
and the prince was acquainted with the the stepdaughters and and everyone around there and and and only hit it off with cinderella, And the Prince was acquainted with stepdaughters and everyone around there and only hit it off with Cinderella.
ended up spending the night dancing with cinderella, end up spending the night dancing with Cinderella.
but the fairy godmother told cinderella that that you hafta be home home by midnight because this this all will end at midnight, that's what her grandmother told Cinderella that you have to be home by midnight because this all will end at midnight.
and so the the the the prince and cinderella were dancing at midnight, And so the Prince and Cinderella were dancing at midnight.
and and and cinderella said, and and and chindrala
oh no," Oh, no."
and and runs runs out of the place leaving one glass slipper behind," and that runs out of the place, leaving a glass slipper, one glass slipper behind."
and and as she's being driven driven back home the the coach turns back into a pumpkin," And as she's being driven back home, the coach turned back into a pumpkin"
the the horse turned back into the mice, the horse turned back into the mice.
and the the footman turned back into a horse and or or or dogs, and the footmen turned back into a horse and our dogs
i don't remember what, I remember what.
and then so but still that then it was over," And then so, but still it was over."
and and then after the ball the the prince decided that there's only only this cinderella that he were interested in," And then after the ball, the parents decided that there's only this Cinderella that he would interest in."
but nobody knew who cinderella was and could not find her," Nobody could, nobody knew Cinderella was and could not find her."
and so he he put his advisor out to the task of of trying to locate cinderella with the glass slipper that that she left behind, And so he put his advisor out to the task of trying to locate Cinderella with a glass slipper that she left behind.
and came to cinderella's house, and came to Cinderella's house.
the the slipper did not fit the the stepsisters, the stepper did not fit the step sisters.
but but turned out it did fit cinderella, And then but but turned out it did fit if it's Cinderella
and so so they end up being that that cinderella and the prince got together and were married and lived happily ever after, And so they end up being that Cinderella and the Prince got together and were married and had happily ever after.
very you have two slices of bread, We have two slices of bread.
you have the ingredients of peanut butter and jelly and have a knife or or a spoon, You have the ingredients of peanut butter and jelly and have a knife or a spoon.
you lay out your two pieces of bread, It'll lay out two pieces of bread.
spread the peanut butter from the jar on one of the pieces of of bread, spread the peanut butter from the jar on one of the pieces of bread.
and then you you spread the jelly on the other piece of bread, and then you spread the jelly on the other piece of bread
and then you put the pieces of bread together, Then you put the pieces of bread together
and there you have a peanut butter and jelly sandwich, and there you have a peanut butter jala shampoos.
struggles yeah," Ah, struggle."
i i i don't talk a lot since the the the stroke, I don't talk a lot since the stroke
i so i don't get a lot to practice talking, I saw I don't get a lot of pressure
yes, Yes.
i i was off from work saturday just watching tv," I was off from work Saturday, just watching TV."
and this thing i know, and this thing I know.
i didn't know where i was, and take no for your office.
this happened like this, This happened like this.
and i stayed home for five days didn't call or nothing to nobody," Anyway, I said to him for five days, they called on nothing to nobody."
one of the guys i worked with came by checking on me," When the guys I first met came by, they took you on me."
luckily he he sent the ambulance over just check on me too," Like I said, the MV was over. JJ, come here too."
and they knocked on the door," And it was, they knocked on the door."
and i came to it and did like, and I came to what ended like
what's up, which I'll put in the description below. Thanks for watching. I'll see you in the next video. Bye.
what happened, What happened?
just slammed the door and walked away, Just slam the door and walk away.
and albert later the same guy came back checking on me and took me to the va," And Albert Leiser, the same guy came back, shaking on me, and took me to the VA."
and they did an m r i and like, and they did an MRI and a little bit of a test.
oh shit, Oh shit.
and he calls over here and rushed me over, He calls over here and voice me over.
but, And her.
but i'm alive, I'm a life.
i thought he was selling something a door to door salesman," So, I thought the boys suddenly started to believe that the kids are so dumb."
i didn't think about it or realize what what he was doing," I didn't think about it, I realized, but when he was young,"
rehab at health south, of the great camp at Health South.
they taught me to walk and use my hands, They told me to walk and use my hands.
they tried to get me to talk more but i did so mm slowly, They tried to get me to talk more but I didn't talk. Slowly.
yeah, Yeah.
when my daughter was born in nineteen ninety six that was a happy time for me seeing her born," When my daughter was born in 1996, that was a happy time for me. I see her run."
but when she was born she was almost almost this color, when she was one she was almost almost this good lord
they had to put her in a incubator for an hour or two, they had to push out in incubator for like an hour or two.
she she changed from that color to her color like that, She changed from that color to an other color like this.
i was okay at first but when i seen all that blood i'm like," I was okay at first, but when I seen all that blood, I'm like"
oh shit, Shit.
yeah i hadta walk out, I had to walk out.
when i was walking i started to to think about that," When I was walking, I started to think about it."
i'm like, One bite.
fuck almost passed out but, almost passed out but
especially that, Especially that
i was there for my daughter," What? Uh, I was there for my doctor."
and my son was born," My son, big boy."
my daughter was born in the morning and my son at eight yeah, I thought you would respond in the morning and my son and I too.
yeah, Yeah.
in nineteen ninety eight, 1998
yeah yeah, Yeah.
yes they are, gets there
boy kicking a ball, Boy kicking at ball.
kicks went to biking," Ah, case out when you're breaking..."
man's sitting on this chair, uh... man setting on this chair
and the ball comes through, and the ball comes through.
he the man grabs the ball and goes to the window and looks out, the man grabs the ball and goes through the window and looks out.
boy go to school," Ah, boy, go just go."
mom gives him a umbrella, the mom kiss him a um um bro
the boy doesn't take it and gets rained on, The boy doesn't take it and gets my join.
it starts to storm," uh, it starts to storm."
he gets wet," Take this, bud."
smarter thing to do would be for the umbrella, smart that thing to do would be for the brother-in-law.
so he wouldn't get wet, and look at what
yeah yeah, Yeah.
no, Go.
little girl is playing with her cat, A little girl is playing with her cat.
dog she chased the cat up that dog chased the cat up the tree, the dog chasing the cat up to the roof.
a man tries to climb out and save the cat but gets stuck," A man tries to climb out as late as they get, but gets stuck."
the fire department has hasta come and to save him and the cat, The fight to poverty has to come with the outsider to save them. And they can't.
cinderella's father marries the evil stepmother, a centripetalist father may raise the evil slayer mother.
she has two daughters about cinderella's age," He has two daughters, a bastard of all that. He's like, age."
the father dies or something happens to him, The further days are some happens to them.
anyway that's when the evil stepmothers instincts just come out, the way that's when the evil said mother's instructions come out.
anyway cinderella go grows up," Yeah. Anyway, shouldn't you ball like it? Go us up."
she's treated like a slave washing the windows washing the floor washing the walls doing the laundry everything," She treats like a slave, watching the windows, watching the floor, watching the walls, the laundry, everything. And she's like, I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this. I'm not going to do this."
while her two sisters is sit back and file they nails," Well, her two sisters sat back and filed like nils."
do this do that," this, do this."
anyway the prince in her town is holding a party boy boy and girl party," Anyway, the friends and her talent is holding a party, a boy and girl party."
cinderella says something like, uh Cindipolis something like
please help me, Please have me.
the good stepmother comes to her makes the dress and does her hair up gives her a carriage and horses to take her to the party, The good stepmother comes to her and makes the dress and does her hair up.
anyway she gets to the party and sees the prince and dances with him," Anyway, she gets to the party and sees the prince and dads with them."
when the clock strikes midnight she runs down the stairs loses one of her shoes and goes back home," When the clock strikes midnight, she runs downstairs, loses her shoes and goes back home."
when the prince goes house to house with all the doors just trying on the shoes noone can wear the shoe until it gets to cinderella," when the prince goes out to house with all the judges, uh, dragging on the shoes, no one can, uh, wear that shoe, uh, until he gets to Cinderella."
and it when she puts on the shoe it fits the end, and when she puts on the shoe it fits like the end.
yeah white bread or wheat, quite pretty for weight.
peanut butter on one slice and jelly on the other, a peanut butter on what size and jelly on the other.
put them together and bite, and dip together and bite.
no not not really," No, not really."
kinda, It's kind of a...
no no no, No.
yes, Yes.
have i, and for Hawaii.
i have, I am.
i'm good, I'm good.
good, Good.
uhhuh, Wrong way.
yeah, Yeah.
anything anything anything," Anything, anything, anything."
anything to," like, shit, dancing the right."
i can't, I can't.
i can't i can't, Thank you.
i just can't it, I can't get it.
i can, Canada.
yeah yeah, It's
right right, Right.
okay, Okay.
he kicked," Okay, enjoy your weekend."
and then it's boom, And it's boom.
and then, No.
that's it, That's it.
he's seen it in the window, He's seen it in the mirror.
and he's seen it through, and they've seen it through new energy.
mom hands hands her," Well, hence, enter a..."
and then he asked her about where, and then he just asked her about that.
and then he went to to the door, Midway to the door. Midway door.
and it's, next week.
and then, It's a two-two-dirty car.
and then he got it, And then you've got to work today.
i can't it," I can't, I can't, I can't do it."
you know i know what it is, You know I know what you're saying.
yeah, Yeah.
there's the the truck, is that the truck
the the man was stuck in the tree, The man was trucking a tree.
and then a stray come with the, and then a great calm with the first
and the, and the logo is a little bit different.
and then this the," And then, uh, this, the,"
he was up on the the, He was up the ground.
he's got, He's God. He's God.
oh man, Oh man.
got," Um, cut."
that's it, That's it.
he got stuck a little girl with a, You got stuck with that little girl with that.
yes yes, Yes.
okay, Okay.
okay, Thank you.
that's it, See you.
okay, Okay.
okay, Okay.
so they walked around," So, deep around the drum, deep around the drum."
and then they come over, And then they come over.
and they," and he just stood up, turned around and sat."
and and he got a a, And he got a big bribe.
and i don't know i i couldn't get it, I can't get it right.
but he's you know," but his father consumes, you know?"
and and he finally got it you know, And he's afraid I got it.
and no it's it's you know," And, uh, no, it's gonna send it to plane."
i had one yesterday, and runnistic.
well use a," while he's a,"
was a, was it.
and then," And then, it's ready."
i can't do it, I know
it's it's easy to but it's hard to," It's easy to dream, but it's hard."
i can't can't can't," I can't, I can't."
it's good," Mmm... Good, good."
talking, Sorry.
it's good, Mmm. That's good.
a little, I will.
hospital, No.
mm talking, Oh
walking, coffee.
that's it, Okay.
it's hard, Mmm. It's hard.
mm, Mm-hmm.
princess, Um... Thank you.
no," Ah, no."
mhm, Thank you.
i forgot, Bye.
goal, .
mm mm mm, Hmm. Hmm. Hmm.
i don't know, Help us.
hmm, Mm.
i dunno, Yeah.
don't worry, Don't.
good job, Good job.
help me, Thank you.
ladder, and I'm gonna be back.
people, Thank you.
help, I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital. I'm going to go to the hospital.
yes," Um, yes."
cinderella, I'm going to go in there.
let me see, Um...
let me see, Um...
hmm, Bye.
no, Um...
yes, Yes.
well maybe way way way way way was pretty good gr," Well, maybe way, way, way, way, way. Pretty good."
and stroke, and stroke.
not so good, Not sure.
and it was slowly slowly so i was just a tiny bit," Slowly, slowly, so just a tiny bit."
and oh in here limping," And in here, limping."
i i know that, I know that.
because pretty good, because pretty good.
and then here pretty good," And then here, pretty good."
muscle, Much so.
but just a tiny bit this here," But just a tiny bit, it's here."
but maybe writing no," but maybe writing, no."
right here, Right here.
something to do with it, something to do with it.
me, me.
go out, uh... go out
this pretty good, That's pretty good.
i eat ice ice cream, I ate ice cream.
ice cream is something new, Ice cream sounds new.
but that's good you know," Fuck, that's a good, you know."
that that, t-t-t-t
many many many stroke stroke stroke," Many, many, many. Stroke, stroke, stroke."
it's a, It's a
oh years ago," So, years ago, years ago."
and that's it it, And that's it.
and speech, and speech for the people.
no, Yeah.
no it's it's me running mow the grass," Now it's me, riding at Mow the Grass."
mow the grass," Do-do-do-do-do-do, mouth grass."
and boop, and a book.
and one two three days later uhoh wait a minute wait a minute," and three days ago, one, two, three days ago, oh, wait a minute, wait a minute."
had stroke, That's it.
this this right pretty good and left numb numb," This one here, this, this, pretty good. And numb, numb."
and then here here," And then here, here."
and then no more, and then no more.
i just a stroke," I just, uh, shook."
i don't know, I don't know.
i don't know, I don't know.
maybe i don't know, Maybe I don't know.
it's just words words nothing," It's just words, words, nothing."
i can't talk, I can't talk.
nothing, And nothing.
well maybe this the the the man," Maybe this man,"
i don't know that, I don't know that.
the the the the man is, That's a man as long as I'm not.
i i don't know that, I don't know that.
well this here," Well, this here is a"
how are you, How are you?
and then then speech, and then
little bit better but no no no no," A little bit better, but no. No, no, no."
and then speech, and then speed.
and then the woman i i i don't know that," And then the woman, I don't know that."
right, Right?
speech oh, uh... speech
the the it's maybe little bit better," take over the arm, you know, it's maybe a little bit better."
some words and sentences, some words and sentences.
and then speech and then slowly slowly," and then speech and then slowly, slowly."
sometimes and sometimes no but slowly slowly," Sometimes and sometimes now, but slowly."
and it i i don't know that, And I don't know that.
so maybe maybe many many years ago i can't talk," Maybe many, many years ago, I can't talk."
well i i i don't know that but sometimes easy sometimes difficult," Well, I don't know that, but sometimes easy, sometimes difficult."
but that's sometimesyou you know," but sometimes to do you, you know."
i little bit better some words and sentences," a little bit better, some words and sentences."
sometimes pretty good, Sometimes pretty good.
not so good, Not too good.
be either one, Thank you.
mhm, Please.
well wall street journal," Well, Wall Street Journal."
not so good, Not so good.
and down ups and downs, ups and downs
maybe many this one one two three four five and here and here and here yeah, maybe this many the group many is when one two three four five in here and here and here
and maybe pretty good," and maybe pretty good, pretty good, pretty good."
and then poofo," And then, both."
and and then slowly slowly and then pretty good," And slowly, slowly, and then pretty good."
you know is it coming pretty good you know," You know, it's coming too pretty good, you know."
and maybe it's good you know, And maybe it's good.
maybe pretty good," Maybe, pretty good."
and one maybe cruising the cruising firstnamed and me and big crowd," and one, maybe the boat cruising, the cruising, Dottie and me, Big Crown."
and maybe little bit better, and maybe a little bit better.
the this the this the the crews down below many many many many many groups are good," There's this, uh, this, uh, the crews down below, many, uh, many, many, many, one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve."
and is the the boat maybe same thing," And the boat, maybe, same thing."
a cruise, cruise.
how are you, for you.
and same thing, and thank you.
and then maybe died sometimes it's easy sometimes difficult," And then maybe died sometimes. It's easy, sometimes difficult."
words this thisof a group many many years ago," words, the expression of a group many, many years ago."
i don't know that sometimes it's easy, I don't know that sometimes.
words and sentences, words and sentences.
leg amputating the leg," leg amputating, the leg..."
you know it's a ham," You know, it's a M."
me a little bit words and sentences, me a little bit of words and sentences.
i don't know that but some words," I don't know that, but some words."
nope i that's i don't know that," Nope, I don't know that."
oh my goodness, I might have missed. I'm going to shave these pecturbs.
oh yeah, Ha ha ha ha.
okey dokey, Okey dokey.
well this kicking the ball," Now, that this man, the girl, kicking the ball, kicking the ball."
right here, Right here.
uhoh, Uh oh.
it's here, It's here.
and then naughty naughty," And then, naughty, naughty."
i i don't know," I don't, I don't know."
was it okay, Okay
i i don't know, I don't know.
well girl and one boy," Well, girl and boy."
boy i guess so, I guess so.
nothing, No more. Nothing.
bye bye, Bye bye.
this one here," This one here, same thing."
cloudy mist, the cloud missed.
oh my goodness it mist, Oh my goodness.
cloudy running running running," running, running, running, running."
not good, Absolutely.
flied umbrella this right here," like, Hamburg is right here."
well, Well.
the man and mutt mutt driving this here," man and a butt, driving this ear."
and okay," And, okay."
this and here, is in here.
